"objid","modelmag_u","modelmag_g","modelmag_r","modelmag_i","modelmag_z","z"
"1237654881267941594","21.04475","20.07928","19.94104","19.82861","19.51532","2.357242"
"1237655126627123986","22.65139","21.17212","20.94131","20.69482","20.70372","2.871162"
"1237655126090317928","20.84755","20.05609","19.93471","19.88236","19.73359","2.441763"
"1237654881267810620","22.22663","21.41138","21.33721","21.35186","21.34793","2.634617"
"1237654881267810615","22.31397","21.0165","20.1293","19.95486","19.70309","1.023721"
"1237655126627123417","20.58249","19.95669","20.05586","19.91661","19.64452","2.239998"
"1237654881804746770","18.43652","18.47794","22.02172","21.93948","19.18158","2.525669"
"1237659345879564534","20.71512","20.1209","20.0305","20.03775","19.99806","2.430465"
"1237654881804681486","21.12205","20.41552","20.44356","20.3558","20.1889","2.342855"
"1237654881267745081","21.37635","20.94563","20.73562","20.43778","20.11336","0.8854299"
"1237654880730874391","22.74253","21.63419","21.34296","21.20138","20.70931","2.457698"
"1237654880730873954","20.78009","20.2215","19.95861","19.7478","19.55263","0.7549366"
"1237654881267679556","21.74858","20.94389","20.72431","20.58791","20.27232","2.359385"
"1237655126626926890","21.08738","20.149","19.94281","19.7758","19.5287","2.698184"
"1237654881804485374","22.55276","21.36059","20.79904","20.5381","20.16197","2.501234"
"1237672764441886934","22.06184","20.15082","19.55322","19.12269","19.08743","2.947943"
"1237679478539157889","20.79064","20.77514","20.29824","20.23144","20.14744","1.294631"
"1237680299423760636","20.44256","19.74999","19.53918","19.56343","19.14686","0.7439713"
"1237672764978431121","26.33626","23.18418","22.41097","20.916","20.0907","1.398531"
"1237672764978496098","25.68847","22.50955","20.69845","20.16567","20.29556","4.156822"
"1237679478539157902","21.49042","21.47278","21.18475","20.92231","20.32274","2.061688"
"1237672764978561628","22.46749","22.08311","21.51157","21.50629","21.4546","2.655889"
"1237680298350019103","23.01082","22.3602","22.34856","21.80589","21.78736","0.762975"
"1237672764978626976","22.55768","22.08714","21.98392","21.55126","22.06885","1.887153"
"1237680298350019257","22.60096","21.86124","21.40488","20.91971","20.47719","0.7652906"
"1237680298350018978","20.87504","20.56834","20.21952","20.19755","20.09533","0.9264376"
"1237672816513319362","24.2724","22.45389","22.61725","22.49128","20.86481","2.329019"
"1237680297813148076","20.76258","20.52146","20.27243","20.01042","19.83819","1.906725"
"1237672764442018074","20.19434","19.76159","19.28613","19.17758","19.14491","1.073979"
"1237672816513253894","22.29339","22.2193","22.44485","21.99355","21.08135","1.769675"
"1237672764442018285","21.15001","20.89023","20.59973","20.2724","20.06828","2.013584"
"1237672764442018291","22.16635","21.72492","21.2536","21.11483","20.93911","1.166412"
"1237672816513319273","20.97993","20.77994","20.27953","20.24896","20.79586","1.166612"
"1237680297813147983","19.89283","19.61297","19.28183","18.88653","18.64869","1.877689"
"1237672764442018081","19.8699","19.27741","18.92662","18.57695","18.53828","1.577334"
"1237679478539223450","22.39062","20.9555","20.07932","19.37712","19.13997","1.515309"
"1237680298886889853","21.09492","20.96623","20.49653","20.32101","20.33877","1.38879"
"1237679478539223331","24.59403","22.11552","22.1401","22.00304","21.8922","2.260876"
"1237679478539223579","22.18508","21.7203","21.15014","20.81575","20.41318","1.37418"
"1237679478539223544","22.90157","21.98897","21.7087","21.2487","20.41102","2.084647"
"1237680298886955369","22.2065","22.12419","21.75315","21.57917","21.30576","1.157893"
"1237680298886955404","21.93599","21.35234","21.23239","20.78386","20.98579","1.763451"
"1237680298886955396","21.07259","21.04995","20.54291","20.41766","20.28034","1.231884"
"1237672817049993686","23.19378","22.61448","22.48838","21.92335","21.66683","0.802793"
"1237672764978693258","27.27422","22.82653","23.26705","21.91971","18.4991","1.326252"
"1237672816513319270","21.40777","21.42797","21.05716","20.85556","21.40857","1.460339"
"1237672764978823646","22.13618","21.40113","21.16193","20.73083","20.88837","1.758774"
"1237672764978889866","24.94214","24.94001","22.45605","20.94705","20.00041","0.6617928"
"1237672764978823552","22.55664","21.4996","20.70047","20.23475","19.78402","2.398392"
"1237672816513450408","21.17483","20.8864","20.58533","20.26052","20.27753","1.990032"
"1237672765515301191","21.51241","20.9971","20.46645","20.31557","20.24315","1.28714"
"1237672765515301224","21.93665","21.16607","20.88777","20.53139","20.47859","0.7092608"
"1237672765515301205","21.53357","20.88691","20.57446","20.20549","20.05724","1.607921"
"1237672765515301236","21.03717","20.46511","20.05368","20.10372","19.84937","0.9434021"
"1237672765515366996","22.76082","22.55369","22.02475","21.92307","21.27463","1.329264"
"1237680298887020910","22.14582","21.9214","21.80105","21.72639","21.14051","2.130672"
"1237672765515366660","21.68905","21.58002","20.80748","20.7832","20.6789","1.347971"
